contrast,time,channel,t_obs,cluster,p_val
blurr_left - normal_left,0.4240,O2,-0.8962,NA,1.0000
blurr_left - normal_left,0.4260,Fp1,0.8935,NA,1.0000
blurr_left - normal_left,0.4260,Fpz,1.2086,NA,1.0000
blurr_left - normal_left,0.4260,Fp2,-0.1561,NA,1.0000
blurr_left - normal_left,0.4260,AF7,1.1368,NA,1.0000
blurr_left - normal_left,0.4260,AF3,1.6343,NA,1.0000
blurr_left - normal_left,0.4260,AFz,1.0454,NA,1.0000
blurr_left - normal_left,0.4260,AF4,0.7792,NA,1.0000
blurr_left - normal_left,0.4260,AF8,-0.3944,NA,1.0000
blurr_left - normal_left,0.4260,F9,2.9103,NA,1.0000
blurr_left - normal_left,0.4260,F7,2.2421,NA,1.0000
blurr_left - normal_left,0.4260,F5,1.3502,NA,1.0000
blurr_left - normal_left,0.4260,F3,2.0528,NA,1.0000
blurr_left - normal_left,0.4260,Fz,1.3754,NA,1.0000
blurr_left - normal_left,0.4260,F4,0.7623,NA,1.0000
blurr_left - normal_left,0.4260,F6,0.7383,NA,1.0000
blurr_left - normal_left,0.4260,F8,0.8963,NA,1.0000
blurr_left - normal_left,0.4260,F10,-0.2117,NA,1.0000
blurr_left - normal_left,0.4260,FT7,2.1699,NA,1.0000
blurr_left - normal_left,0.4260,FC5,1.7669,NA,1.0000
blurr_left - normal_left,0.4260,FC3,5.6343,NA,1.0000
blurr_left - normal_left,0.4260,FC1,4.4102,NA,1.0000
blurr_left - normal_left,0.4260,FC2,-3.5686,NA,1.0000
blurr_left - normal_left,0.4260,FC4,-1.2711,NA,1.0000
blurr_left - normal_left,0.4260,FC6,-7.0673,NA,1.0000
blurr_left - normal_left,0.4260,FT8,6.7450,NA,1.0000
blurr_left - normal_left,0.4260,T7,2.8896,NA,1.0000
blurr_left - normal_left,0.4260,C5,1.1418,NA,1.0000
blurr_left - normal_left,0.4260,C3,7.2536,NA,1.0000
blurr_left - normal_left,0.4260,C1,6.4110,NA,1.0000
blurr_left - normal_left,0.4260,Cz,-0.1114,NA,1.0000
blurr_left - normal_left,0.4260,C2,-3.6195,NA,1.0000
blurr_left - normal_left,0.4260,C4,-1.1922,NA,1.0000
blurr_left - normal_left,0.4260,C6,0.7089,NA,1.0000
blurr_left - normal_left,0.4260,T8,1.4626,NA,1.0000
blurr_left - normal_left,0.4260,TP9,1.2168,NA,1.0000
blurr_left - normal_left,0.4260,TP7,0.5593,NA,1.0000
blurr_left - normal_left,0.4260,CP5,-0.1261,NA,1.0000
blurr_left - normal_left,0.4260,CP3,-1.9745,NA,1.0000
blurr_left - normal_left,0.4260,CP1,-16.2094,neg_164,1.0000
blurr_left - normal_left,0.4260,CPz,-5.0467,NA,1.0000
blurr_left - normal_left,0.4260,CP2,-3.5410,NA,1.0000
blurr_left - normal_left,0.4260,CP4,-0.8929,NA,1.0000
blurr_left - normal_left,0.4260,CP6,0.1091,NA,1.0000
blurr_left - normal_left,0.4260,TP8,2.5572,NA,1.0000
blurr_left - normal_left,0.4260,TP10,-0.1382,NA,1.0000
blurr_left - normal_left,0.4260,P7,-4.1775,NA,1.0000
blurr_left - normal_left,0.4260,P5,-13.6976,neg_163,1.0000
blurr_left - normal_left,0.4260,P3,-9.9458,NA,1.0000
blurr_left - normal_left,0.4260,Pz,-3.7859,NA,1.0000
blurr_left - normal_left,0.4260,P4,-0.9668,NA,1.0000
blurr_left - normal_left,0.4260,P6,-0.3279,NA,1.0000
blurr_left - normal_left,0.4260,P8,0.6697,NA,1.0000
blurr_left - normal_left,0.4260,PO9,-1.9359,NA,1.0000
blurr_left - normal_left,0.4260,PO7,-1.8693,NA,1.0000
blurr_left - normal_left,0.4260,PO3,-5.4158,NA,1.0000
blurr_left - normal_left,0.4260,POz,-1.8162,NA,1.0000
blurr_left - normal_left,0.4260,PO4,-1.0252,NA,1.0000
blurr_left - normal_left,0.4260,PO8,-0.3912,NA,1.0000
blurr_left - normal_left,0.4260,PO10,-0.6698,NA,1.0000
blurr_left - normal_left,0.4260,O1,-1.9113,NA,1.0000
blurr_left - normal_left,0.4260,Oz,-1.3023,NA,1.0000
blurr_left - normal_left,0.4260,O2,-0.9317,NA,1.0000
blurr_left - normal_left,0.4280,Fp1,0.8914,NA,1.0000
blurr_left - normal_left,0.4280,Fpz,1.2598,NA,1.0000
blurr_left - normal_left,0.4280,Fp2,-0.2752,NA,1.0000
blurr_left - normal_left,0.4280,AF7,1.1654,NA,1.0000
blurr_left - normal_left,0.4280,AF3,1.6724,NA,1.0000
blurr_left - normal_left,0.4280,AFz,0.9827,NA,1.0000
blurr_left - normal_left,0.4280,AF4,0.6171,NA,1.0000
blurr_left - normal_left,0.4280,AF8,-0.4281,NA,1.0000
blurr_left - normal_left,0.4280,F9,2.8048,NA,1.0000
blurr_left - normal_left,0.4280,F7,2.1832,NA,1.0000
blurr_left - normal_left,0.4280,F5,1.3165,NA,1.0000
blurr_left - normal_left,0.4280,F3,1.9258,NA,1.0000
blurr_left - normal_left,0.4280,Fz,1.2708,NA,1.0000
blurr_left - normal_left,0.4280,F4,-0.4328,NA,1.0000
blurr_left - normal_left,0.4280,F6,0.6386,NA,1.0000
blurr_left - normal_left,0.4280,F8,0.9022,NA,1.0000
blurr_left - normal_left,0.4280,F10,-0.0853,NA,1.0000
blurr_left - normal_left,0.4280,FT7,2.1995,NA,1.0000
blurr_left - normal_left,0.4280,FC5,1.6777,NA,1.0000
blurr_left - normal_left,0.4280,FC3,5.4887,NA,1.0000
blurr_left - normal_left,0.4280,FC1,4.1127,NA,1.0000
blurr_left - normal_left,0.4280,FC2,-4.3659,NA,1.0000
blurr_left - normal_left,0.4280,FC4,-1.5329,NA,1.0000
blurr_left - normal_left,0.4280,FC6,-1.7902,NA,1.0000
blurr_left - normal_left,0.4280,FT8,47.6109,pos_92,1.0000
blurr_left - normal_left,0.4280,T7,3.0966,NA,1.0000
blurr_left - normal_left,0.4280,C5,1.0871,NA,1.0000
blurr_left - normal_left,0.4280,C3,6.7263,NA,1.0000
blurr_left - normal_left,0.4280,C1,4.9751,NA,1.0000
blurr_left - normal_left,0.4280,Cz,-0.3583,NA,1.0000
blurr_left - normal_left,0.4280,C2,-3.9331,NA,1.0000
blurr_left - normal_left,0.4280,C4,-1.1522,NA,1.0000
blurr_left - normal_left,0.4280,C6,1.1177,NA,1.0000
blurr_left - normal_left,0.4280,T8,1.5365,NA,1.0000
blurr_left - normal_left,0.4280,TP9,1.7568,NA,1.0000
blurr_left - normal_left,0.4280,TP7,0.6988,NA,1.0000
blurr_left - normal_left,0.4280,CP5,-0.2027,NA,1.0000
blurr_left - normal_left,0.4280,CP3,-2.3417,NA,1.0000
blurr_left - normal_left,0.4280,CP1,-16.7914,neg_164,1.0000
blurr_left - normal_left,0.4280,CPz,-5.3953,NA,1.0000
blurr_left - normal_left,0.4280,CP2,-3.6990,NA,1.0000
blurr_left - normal_left,0.4280,CP4,-0.8603,NA,1.0000
blurr_left - normal_left,0.4280,CP6,0.1814,NA,1.0000
blurr_left - normal_left,0.4280,TP8,2.7067,NA,1.0000
blurr_left - normal_left,0.4280,TP10,0.1169,NA,1.0000
blurr_left - normal_left,0.4280,P7,-3.1335,NA,1.0000
blurr_left - normal_left,0.4280,P5,-9.0734,NA,1.0000
blurr_left - normal_left,0.4280,P3,-9.4153,NA,1.0000
blurr_left - normal_left,0.4280,Pz,-4.1312,NA,1.0000
blurr_left - normal_left,0.4280,P4,-0.9340,NA,1.0000
blurr_left - normal_left,0.4280,P6,-0.2618,NA,1.0000
blurr_left - normal_left,0.4280,P8,0.8370,NA,1.0000
blurr_left - normal_left,0.4280,PO9,-1.7930,NA,1.0000
blurr_left - normal_left,0.4280,PO7,-1.7865,NA,1.0000
blurr_left - normal_left,0.4280,PO3,-5.4446,NA,1.0000
blurr_left - normal_left,0.4280,POz,-1.8357,NA,1.0000
blurr_left - normal_left,0.4280,PO4,-0.9974,NA,1.0000
blurr_left - normal_left,0.4280,PO8,-0.3183,NA,1.0000
blurr_left - normal_left,0.4280,PO10,-0.5357,NA,1.0000
blurr_left - normal_left,0.4280,O1,-1.7687,NA,1.0000
blurr_left - normal_left,0.4280,Oz,-1.2726,NA,1.0000
blurr_left - normal_left,0.4280,O2,-0.9357,NA,1.0000
blurr_left - normal_left,0.4300,Fp1,0.9189,NA,1.0000
blurr_left - normal_left,0.4300,Fpz,1.3138,NA,1.0000
blurr_left - normal_left,0.4300,Fp2,-0.4385,NA,1.0000
blurr_left - normal_left,0.4300,AF7,1.1933,NA,1.0000
blurr_left - normal_left,0.4300,AF3,1.6793,NA,1.0000
blurr_left - normal_left,0.4300,AFz,0.9116,NA,1.0000
blurr_left - normal_left,0.4300,AF4,0.4454,NA,1.0000
blurr_left - normal_left,0.4300,AF8,-0.4482,NA,1.0000
blurr_left - normal_left,0.4300,F9,2.7954,NA,1.0000
blurr_left - normal_left,0.4300,F7,2.1252,NA,1.0000
blurr_left - normal_left,0.4300,F5,1.2570,NA,1.0000
blurr_left - normal_left,0.4300,F3,1.7781,NA,1.0000
blurr_left - normal_left,0.4300,Fz,1.1204,NA,1.0000
blurr_left - normal_left,0.4300,F4,-2.6163,NA,1.0000
blurr_left - normal_left,0.4300,F6,0.4145,NA,1.0000
blurr_left - normal_left,0.4300,F8,0.9399,NA,1.0000
blurr_left - normal_left,0.4300,F10,0.1378,NA,1.0000
blurr_left - normal_left,0.4300,FT7,2.2028,NA,1.0000
blurr_left - normal_left,0.4300,FC5,1.5824,NA,1.0000
blurr_left - normal_left,0.4300,FC3,4.8593,NA,1.0000
blurr_left - normal_left,0.4300,FC1,3.5890,NA,1.0000
blurr_left - normal_left,0.4300,FC2,-6.4555,NA,1.0000
blurr_left - normal_left,0.4300,FC4,-2.0652,NA,1.0000
blurr_left - normal_left,0.4300,FC6,-0.8303,NA,1.0000
blurr_left - normal_left,0.4300,FT8,6.4924,NA,1.0000
blurr_left - normal_left,0.4300,T7,3.2617,NA,1.0000
blurr_left - normal_left,0.4300,C5,1.0171,NA,1.0000
blurr_left - normal_left,0.4300,C3,5.5125,NA,1.0000
blurr_left - normal_left,0.4300,C1,4.0415,NA,1.0000
blurr_left - normal_left,0.4300,Cz,-0.6069,NA,1.0000
blurr_left - normal_left,0.4300,C2,-4.4283,NA,1.0000
blurr_left - normal_left,0.4300,C4,-1.2186,NA,1.0000
blurr_left - normal_left,0.4300,C6,1.3226,NA,1.0000
blurr_left - normal_left,0.4300,T8,1.4237,NA,1.0000
blurr_left - normal_left,0.4300,TP9,3.4730,NA,1.0000
blurr_left - normal_left,0.4300,TP7,0.8193,NA,1.0000
blurr_left - normal_left,0.4300,CP5,-0.2808,NA,1.0000
blurr_left - normal_left,0.4300,CP3,-2.5930,NA,1.0000
blurr_left - normal_left,0.4300,CP1,-18.8010,neg_164,1.0000
blurr_left - normal_left,0.4300,CPz,-5.6815,NA,1.0000
blurr_left - normal_left,0.4300,CP2,-3.7977,NA,1.0000
blurr_left - normal_left,0.4300,CP4,-0.8378,NA,1.0000
blurr_left - normal_left,0.4300,CP6,0.2368,NA,1.0000
blurr_left - normal_left,0.4300,TP8,2.3885,NA,1.0000
blurr_left - normal_left,0.4300,TP10,0.3687,NA,1.0000
blurr_left - normal_left,0.4300,P7,-2.4443,NA,1.0000
blurr_left - normal_left,0.4300,P5,-6.3292,NA,1.0000
blurr_left - normal_left,0.4300,P3,-8.4990,NA,1.0000
blurr_left - normal_left,0.4300,Pz,-4.4784,NA,1.0000
blurr_left - normal_left,0.4300,P4,-0.8922,NA,1.0000
blurr_left - normal_left,0.4300,P6,-0.1843,NA,1.0000
blurr_left - normal_left,0.4300,P8,0.9642,NA,1.0000
blurr_left - normal_left,0.4300,PO9,-1.6333,NA,1.0000
blurr_left - normal_left,0.4300,PO7,-1.7260,NA,1.0000
blurr_left - normal_left,0.4300,PO3,-5.5501,NA,1.0000
blurr_left - normal_left,0.4300,POz,-1.8323,NA,1.0000
blurr_left - normal_left,0.4300,PO4,-0.9451,NA,1.0000
blurr_left - normal_left,0.4300,PO8,-0.2030,NA,1.0000
blurr_left - normal_left,0.4300,PO10,-0.3216,NA,1.0000
blurr_left - normal_left,0.4300,O1,-1.6175,NA,1.0000
blurr_left - normal_left,0.4300,Oz,-1.2025,NA,1.0000
blurr_left - normal_left,0.4300,O2,-0.8845,NA,1.0000
blurr_left - normal_left,0.4320,Fp1,0.9573,NA,1.0000
blurr_left - normal_left,0.4320,Fpz,1.3395,NA,1.0000
blurr_left - normal_left,0.4320,Fp2,-0.6274,NA,1.0000
blurr_left - normal_left,0.4320,AF7,1.1899,NA,1.0000
blurr_left - normal_left,0.4320,AF3,1.6231,NA,1.0000
blurr_left - normal_left,0.4320,AFz,0.8384,NA,1.0000
blurr_left - normal_left,0.4320,AF4,0.2548,NA,1.0000
blurr_left - normal_left,0.4320,AF8,-0.4652,NA,1.0000
blurr_left - normal_left,0.4320,F9,2.8054,NA,1.0000
blurr_left - normal_left,0.4320,F7,2.0409,NA,1.0000
blurr_left - normal_left,0.4320,F5,1.1693,NA,1.0000
blurr_left - normal_left,0.4320,F3,1.6191,NA,1.0000
blurr_left - normal_left,0.4320,Fz,0.9511,NA,1.0000
blurr_left - normal_left,0.4320,F4,-3.2488,NA,1.0000
blurr_left - normal_left,0.4320,F6,0.0053,NA,1.0000
blurr_left - normal_left,0.4320,F8,1.0206,NA,1.0000
blurr_left - normal_left,0.4320,F10,0.5477,NA,1.0000
blurr_left - normal_left,0.4320,FT7,2.1607,NA,1.0000
blurr_left - normal_left,0.4320,FC5,1.4756,NA,1.0000
blurr_left - normal_left,0.4320,FC3,4.0010,NA,1.0000
blurr_left - normal_left,0.4320,FC1,3.0015,NA,1.0000
blurr_left - normal_left,0.4320,FC2,-11.7571,NA,1.0000
blurr_left - normal_left,0.4320,FC4,-3.0029,NA,1.0000
blurr_left - normal_left,0.4320,FC6,-0.6247,NA,1.0000
blurr_left - normal_left,0.4320,FT8,4.0050,NA,1.0000
blurr_left - normal_left,0.4320,T7,3.3980,NA,1.0000
blurr_left - normal_left,0.4320,C5,0.9326,NA,1.0000
blurr_left - normal_left,0.4320,C3,4.1305,NA,1.0000
blurr_left - normal_left,0.4320,C1,3.4293,NA,1.0000
blurr_left - normal_left,0.4320,Cz,-0.8528,NA,1.0000
blurr_left - normal_left,0.4320,C2,-5.0830,NA,1.0000
blurr_left - normal_left,0.4320,C4,-1.3998,NA,1.0000
blurr_left - normal_left,0.4320,C6,1.3472,NA,1.0000
blurr_left - normal_left,0.4320,T8,1.3390,NA,1.0000
blurr_left - normal_left,0.4320,TP9,9.3223,NA,1.0000
blurr_left - normal_left,0.4320,TP7,0.9123,NA,1.0000
blurr_left - normal_left,0.4320,CP5,-0.3557,NA,1.0000
blurr_left - normal_left,0.4320,CP3,-2.7285,NA,1.0000
blurr_left - normal_left,0.4320,CP1,-21.9469,neg_164,1.0000
blurr_left - normal_left,0.4320,CPz,-5.8489,NA,1.0000
blurr_left - normal_left,0.4320,CP2,-3.8180,NA,1.0000
blurr_left - normal_left,0.4320,CP4,-0.8262,NA,1.0000
blurr_left - normal_left,0.4320,CP6,0.2803,NA,1.0000
blurr_left - normal_left,0.4320,TP8,2.0251,NA,1.0000
blurr_left - normal_left,0.4320,TP10,0.6633,NA,1.0000
blurr_left - normal_left,0.4320,P7,-1.9814,NA,1.0000
blurr_left - normal_left,0.4320,P5,-4.8283,NA,1.0000
blurr_left - normal_left,0.4320,P3,-7.6470,NA,1.0000
blurr_left - normal_left,0.4320,Pz,-4.7569,NA,1.0000
blurr_left - normal_left,0.4320,P4,-0.8479,NA,1.0000
blurr_left - normal_left,0.4320,P6,-0.1040,NA,1.0000
blurr_left - normal_left,0.4320,P8,1.0530,NA,1.0000
blurr_left - normal_left,0.4320,PO9,-1.3905,NA,1.0000
blurr_left - normal_left,0.4320,PO7,-1.6454,NA,1.0000
blurr_left - normal_left,0.4320,PO3,-5.5722,NA,1.0000
blurr_left - normal_left,0.4320,POz,-1.7872,NA,1.0000
blurr_left - normal_left,0.4320,PO4,-0.8699,NA,1.0000
blurr_left - normal_left,0.4320,PO8,-0.0645,NA,1.0000
blurr_left - normal_left,0.4320,PO10,-0.0691,NA,1.0000
blurr_left - normal_left,0.4320,O1,-1.4320,NA,1.0000
blurr_left - normal_left,0.4320,Oz,-1.0770,NA,1.0000
blurr_left - normal_left,0.4320,O2,-0.7700,NA,1.0000
blurr_left - normal_left,0.4340,Fp1,0.9810,NA,1.0000
blurr_left - normal_left,0.4340,Fpz,1.3121,NA,1.0000
blurr_left - normal_left,0.4340,Fp2,-0.8237,NA,1.0000
blurr_left - normal_left,0.4340,AF7,1.1247,NA,1.0000
blurr_left - normal_left,0.4340,AF3,1.4942,NA,1.0000
blurr_left - normal_left,0.4340,AFz,0.7691,NA,1.0000
blurr_left - normal_left,0.4340,AF4,0.0423,NA,1.0000
blurr_left - normal_left,0.4340,AF8,-0.4890,NA,1.0000
blurr_left - normal_left,0.4340,F9,2.7690,NA,1.0000
blurr_left - normal_left,0.4340,F7,1.9175,NA,1.0000
blurr_left - normal_left,0.4340,F5,1.0584,NA,1.0000
blurr_left - normal_left,0.4340,F3,1.4612,NA,1.0000
blurr_left - normal_left,0.4340,Fz,0.7927,NA,1.0000
blurr_left - normal_left,0.4340,F4,-3.0073,NA,1.0000
blurr_left - normal_left,0.4340,F6,-0.6065,NA,1.0000
blurr_left - normal_left,0.4340,F8,1.1593,NA,1.0000
blurr_left - normal_left,0.4340,F10,1.3348,NA,1.0000
blurr_left - normal_left,0.4340,FT7,2.0705,NA,1.0000
blurr_left - normal_left,0.4340,FC5,1.3581,NA,1.0000
blurr_left - normal_left,0.4340,FC3,3.2079,NA,1.0000
blurr_left - normal_left,0.4340,FC1,2.4977,NA,1.0000
blurr_left - normal_left,0.4340,FC2,-29.4914,neg_166,1.0000
blurr_left - normal_left,0.4340,FC4,-4.4501,NA,1.0000
blurr_left - normal_left,0.4340,FC6,-0.6820,NA,1.0000
blurr_left - normal_left,0.4340,FT8,3.2394,NA,1.0000
blurr_left - normal_left,0.4340,T7,3.4940,NA,1.0000
blurr_left - normal_left,0.4340,C5,0.8389,NA,1.0000
blurr_left - normal_left,0.4340,C3,2.9999,NA,1.0000
blurr_left - normal_left,0.4340,C1,3.0314,NA,1.0000
blurr_left - normal_left,0.4340,Cz,-1.0789,NA,1.0000
blurr_left - normal_left,0.4340,C2,-5.7756,NA,1.0000
blurr_left - normal_left,0.4340,C4,-1.7133,NA,1.0000
blurr_left - normal_left,0.4340,C6,1.2628,NA,1.0000
blurr_left - normal_left,0.4340,T8,1.3021,NA,1.0000
blurr_left - normal_left,0.4340,TP9,1.0694,NA,1.0000
blurr_left - normal_left,0.4340,TP7,0.9727,NA,1.0000
blurr_left - normal_left,0.4340,CP5,-0.4233,NA,1.0000
blurr_left - normal_left,0.4340,CP3,-2.7907,NA,1.0000
blurr_left - normal_left,0.4340,CP1,-25.2588,neg_164,1.0000
blurr_left - normal_left,0.4340,CPz,-5.8373,NA,1.0000
blurr_left - normal_left,0.4340,CP2,-3.7451,NA,1.0000
blurr_left - normal_left,0.4340,CP4,-0.8246,NA,1.0000
blurr_left - normal_left,0.4340,CP6,0.3173,NA,1.0000
blurr_left - normal_left,0.4340,TP8,1.7559,NA,1.0000
blurr_left - normal_left,0.4340,TP10,1.0723,NA,1.0000
blurr_left - normal_left,0.4340,P7,-1.6725,NA,1.0000
blurr_left - normal_left,0.4340,P5,-4.0260,NA,1.0000
blurr_left - normal_left,0.4340,P3,-7.0770,NA,1.0000
blurr_left - normal_left,0.4340,Pz,-4.8874,NA,1.0000
blurr_left - normal_left,0.4340,P4,-0.8080,NA,1.0000
blurr_left - normal_left,0.4340,P6,-0.0285,NA,1.0000
blurr_left - normal_left,0.4340,P8,1.1228,NA,1.0000
blurr_left - normal_left,0.4340,PO9,-1.0382,NA,1.0000
blurr_left - normal_left,0.4340,PO7,-1.5082,NA,1.0000
blurr_left - normal_left,0.4340,PO3,-5.3514,NA,1.0000
blurr_left - normal_left,0.4340,POz,-1.6952,NA,1.0000
blurr_left - normal_left,0.4340,PO4,-0.7819,NA,1.0000
blurr_left - normal_left,0.4340,PO8,0.0741,NA,1.0000
blurr_left - normal_left,0.4340,PO10,0.1738,NA,1.0000
blurr_left - normal_left,0.4340,O1,-1.2067,NA,1.0000
blurr_left - normal_left,0.4340,Oz,-0.9023,NA,1.0000
blurr_left - normal_left,0.4340,O2,-0.6090,NA,1.0000
blurr_left - normal_left,0.4360,Fp1,0.9679,NA,1.0000
blurr_left - normal_left,0.4360,Fpz,1.2284,NA,1.0000
blurr_left - normal_left,0.4360,Fp2,-1.0123,NA,1.0000
blurr_left - normal_left,0.4360,AF7,0.9894,NA,1.0000
blurr_left - normal_left,0.4360,AF3,1.3195,NA,1.0000
blurr_left - normal_left,0.4360,AFz,0.7086,NA,1.0000
blurr_left - normal_left,0.4360,AF4,-0.1822,NA,1.0000
blurr_left - normal_left,0.4360,AF8,-0.5262,NA,1.0000
blurr_left - normal_left,0.4360,F9,2.6437,NA,1.0000
blurr_left - normal_left,0.4360,F7,1.7590,NA,1.0000
blurr_left - normal_left,0.4360,F5,0.9349,NA,1.0000
blurr_left - normal_left,0.4360,F3,1.3201,NA,1.0000
blurr_left - normal_left,0.4360,Fz,0.6664,NA,1.0000
blurr_left - normal_left,0.4360,F4,-2.7518,NA,1.0000
blurr_left - normal_left,0.4360,F6,-1.3234,NA,1.0000
blurr_left - normal_left,0.4360,F8,1.3690,NA,1.0000
blurr_left - normal_left,0.4360,F10,2.7521,NA,1.0000
blurr_left - normal_left,0.4360,FT7,1.9440,NA,1.0000
blurr_left - normal_left,0.4360,FC5,1.2365,NA,1.0000
blurr_left - normal_left,0.4360,FC3,2.6168,NA,1.0000
blurr_left - normal_left,0.4360,FC1,2.1504,NA,1.0000
blurr_left - normal_left,0.4360,FC2,-130.1489,neg_166,1.0000
blurr_left - normal_left,0.4360,FC4,-6.0300,NA,1.0000
blurr_left - normal_left,0.4360,FC6,-1.8360,NA,1.0000
blurr_left - normal_left,0.4360,FT8,3.0145,NA,1.0000
blurr_left - normal_left,0.4360,T7,3.4975,NA,1.0000
blurr_left - normal_left,0.4360,C5,0.7442,NA,1.0000
blurr_left - normal_left,0.4360,C3,2.2324,NA,1.0000
blurr_left - normal_left,0.4360,C1,2.7579,NA,1.0000
blurr_left - normal_left,0.4360,Cz,-1.2503,NA,1.0000
blurr_left - normal_left,0.4360,C2,-6.2224,NA,1.0000
blurr_left - normal_left,0.4360,C4,-2.1546,NA,1.0000
blurr_left - normal_left,0.4360,C6,1.1315,NA,1.0000
blurr_left - normal_left,0.4360,T8,1.3001,NA,1.0000
blurr_left - normal_left,0.4360,TP9,0.1786,NA,1.0000
blurr_left - normal_left,0.4360,TP7,0.9980,NA,1.0000
blurr_left - normal_left,0.4360,CP5,-0.4809,NA,1.0000
blurr_left - normal_left,0.4360,CP3,-2.8315,NA,1.0000
blurr_left - normal_left,0.4360,CP1,-26.1524,neg_164,1.0000
blurr_left - normal_left,0.4360,CPz,-5.6043,NA,1.0000
blurr_left - normal_left,0.4360,CP2,-3.5738,NA,1.0000
blurr_left - normal_left,0.4360,CP4,-0.8304,NA,1.0000
blurr_left - normal_left,0.4360,CP6,0.3522,NA,1.0000
blurr_left - normal_left,0.4360,TP8,1.5914,NA,1.0000
blurr_left - normal_left,0.4360,TP10,1.7458,NA,1.0000
blurr_left - normal_left,0.4360,P7,-1.4726,NA,1.0000
blurr_left - normal_left,0.4360,P5,-3.6391,NA,1.0000
blurr_left - normal_left,0.4360,P3,-6.8655,NA,1.0000
blurr_left - normal_left,0.4360,Pz,-4.8190,NA,1.0000
blurr_left - normal_left,0.4360,P4,-0.7792,NA,1.0000
blurr_left - normal_left,0.4360,P6,0.0362,NA,1.0000
blurr_left - normal_left,0.4360,P8,1.1906,NA,1.0000
blurr_left - normal_left,0.4360,PO9,-0.6302,NA,1.0000
blurr_left - normal_left,0.4360,PO7,-1.3105,NA,1.0000
blurr_left - normal_left,0.4360,PO3,-4.8468,NA,1.0000
blurr_left - normal_left,0.4360,POz,-1.5686,NA,1.0000
blurr_left - normal_left,0.4360,PO4,-0.6965,NA,1.0000
blurr_left - normal_left,0.4360,PO8,0.1962,NA,1.0000
blurr_left - normal_left,0.4360,PO10,0.3781,NA,1.0000
blurr_left - normal_left,0.4360,O1,-0.9612,NA,1.0000
blurr_left - normal_left,0.4360,Oz,-0.7037,NA,1.0000
blurr_left - normal_left,0.4360,O2,-0.4336,NA,1.0000
blurr_left - normal_left,0.4380,Fp1,0.9123,NA,1.0000
blurr_left - normal_left,0.4380,Fpz,1.1095,NA,1.0000
blurr_left - normal_left,0.4380,Fp2,-1.1783,NA,1.0000
blurr_left - normal_left,0.4380,AF7,0.8121,NA,1.0000
blurr_left - normal_left,0.4380,AF3,1.1438,NA,1.0000
blurr_left - normal_left,0.4380,AFz,0.6606,NA,1.0000
blurr_left - normal_left,0.4380,AF4,-0.3865,NA,1.0000
blurr_left - normal_left,0.4380,AF8,-0.5788,NA,1.0000
blurr_left - normal_left,0.4380,F9,2.4261,NA,1.0000
blurr_left - normal_left,0.4380,F7,1.5841,NA,1.0000
blurr_left - normal_left,0.4380,F5,0.8120,NA,1.0000
blurr_left - normal_left,0.4380,F3,1.2128,NA,1.0000
blurr_left - normal_left,0.4380,Fz,0.5824,NA,1.0000
blurr_left - normal_left,0.4380,F4,-2.6322,NA,1.0000
blurr_left - normal_left,0.4380,F6,-1.9472,NA,1.0000
blurr_left - normal_left,0.4380,F8,1.6497,NA,1.0000
blurr_left - normal_left,0.4380,F10,4.1938,NA,1.0000
blurr_left - normal_left,0.4380,FT7,1.8001,NA,1.0000
blurr_left - normal_left,0.4380,FC5,1.1210,NA,1.0000
blurr_left - normal_left,0.4380,FC3,2.2391,NA,1.0000
blurr_left - normal_left,0.4380,FC1,1.9796,NA,1.0000
blurr_left - normal_left,0.4380,FC2,-124.3896,neg_166,1.0000
blurr_left - normal_left,0.4380,FC4,-6.5799,NA,1.0000
blurr_left - normal_left,0.4380,FC6,-0.7342,NA,1.0000
blurr_left - normal_left,0.4380,FT8,3.1322,NA,1.0000
blurr_left - normal_left,0.4380,T7,3.3115,NA,1.0000
blurr_left - normal_left,0.4380,C5,0.6571,NA,1.0000
blurr_left - normal_left,0.4380,C3,1.7803,NA,1.0000
blurr_left - normal_left,0.4380,C1,2.4893,NA,1.0000
blurr_left - normal_left,0.4380,Cz,-1.3237,NA,1.0000
blurr_left - normal_left,0.4380,C2,-6.1082,NA,1.0000
blurr_left - normal_left,0.4380,C4,-2.6290,NA,1.0000
blurr_left - normal_left,0.4380,C6,0.9957,NA,1.0000
blurr_left - normal_left,0.4380,T8,1.3258,NA,1.0000
blurr_left - normal_left,0.4380,TP9,-0.1790,NA,1.0000
blurr_left - normal_left,0.4380,TP7,0.9871,NA,1.0000
blurr_left - normal_left,0.4380,CP5,-0.5277,NA,1.0000
blurr_left - normal_left,0.4380,CP3,-2.8979,NA,1.0000
blurr_left - normal_left,0.4380,CP1,-22.4685,neg_164,1.0000
blurr_left - normal_left,0.4380,CPz,-5.1586,NA,1.0000
blurr_left - normal_left,0.4380,CP2,-3.3170,NA,1.0000
blurr_left - normal_left,0.4380,CP4,-0.8402,NA,1.0000
blurr_left - normal_left,0.4380,CP6,0.3884,NA,1.0000
blurr_left - normal_left,0.4380,TP8,1.5202,NA,1.0000
blurr_left - normal_left,0.4380,TP10,3.1020,NA,1.0000
blurr_left - normal_left,0.4380,P7,-1.3514,NA,1.0000
blurr_left - normal_left,0.4380,P5,-3.5448,NA,1.0000
blurr_left - normal_left,0.4380,P3,-7.0718,NA,1.0000
